epsilon,epsilon_step,max_iter,mean_perturbation,detection_accuracy
1.0,0.1,10.0,0.7289570966447795,0.0
1.0,0.04,25.0,0.7300790174991181,0.0
3.0,0.3,10.0,1.6870987071765404,1.0
3.0,0.12,25.0,1.689644420095756,1.0
5.0,0.5,10.0,2.36022693944476,1.0
5.0,0.2,25.0,2.3742866755896124,1.0
7.0,0.7,10.0,2.926352714460066,1.0
7.0,0.28,25.0,2.93138591459094,1.0
10.0,1.0,10.0,3.672451796835632,1.0
10.0,0.4,25.0,3.619267906194832,1.0
20.0,2.0,10.0,5.855866916355662,1.0
20.0,0.8,25.0,5.315306770485643,1.0
40.0,4.0,10.0,10.220966395817586,1.0
40.0,1.6,25.0,8.107177485398887,1.0
1.0,0.02,50.0,0.7307759368385368,0.0
3.0,0.06,50.0,1.6949597071776366,1.0
5.0,0.1,50.0,2.392485919015538,1.0
7.0,0.14,50.0,2.9778580092172726,1.0
10.0,0.2,50.0,3.694093999250176,1.0
20.0,0.4,50.0,5.281578554323523,1.0
40.0,0.8,50.0,7.464472907945484,1.0
