epsilon,mean_perturbation,detection_accuracy
1.0,0.9910449187115322,0.0
2.0,1.9787800276360543,0.0
3.0,2.963746469569971,0.0
4.0,3.9461825169055715,0.0
5.0,4.926021800089083,0.0
6.0,5.903208389010366,1.0
7.0,6.877165836572725,1.0
8.0,7.8483453165492385,1.0
9.0,8.81657948149498,1.0
10.0,9.782293438208617,1.0
20.0,19.292957488054746,1.0
35.0,33.01622795695659,1.0
50.0,46.00755512026239,1.0
100.0,82.93136261945254,1.0
150.0,108.50100832371639,1.0
200.0,122.59336956136622,1.0
255.0,127.41337609076369,1.0
