epsilon,epsilon_step,max_iter,mean_perturbation,detection_accuracy
1.0,0.1,10.0,0.6914196190423043,0.0
1.0,0.04,25.0,0.694799775657856,0.0
3.0,0.3,10.0,1.6039348255882595,0.0
3.0,0.12,25.0,1.62581551972063,0.0
5.0,0.5,10.0,2.275385879798348,1.0
5.0,0.2,25.0,2.311838656115824,1.0
7.0,0.7,10.0,2.833645450991302,1.0
7.0,0.28,25.0,2.8571585166865456,1.0
10.0,1.0,10.0,3.582948782191448,1.0
10.0,0.4,25.0,3.5275642561145704,1.0
20.0,2.0,10.0,5.801511251822157,1.0
20.0,0.8,25.0,5.222802762469189,1.0
40.0,4.0,10.0,10.199360916241496,1.0
40.0,1.6,25.0,8.065563115701847,1.0
1.0,0.02,50.0,0.695987098311134,0.0
3.0,0.06,50.0,1.6371298923898319,0.0
5.0,0.1,50.0,2.338180024542663,1.0
7.0,0.14,50.0,2.9060808894115424,1.0
10.0,0.2,50.0,3.593292549657077,1.0
20.0,0.4,50.0,5.18624693728396,1.0
40.0,0.8,50.0,7.36630421630071,1.0
